Id_Equipo_Area;Nombre_Equipo_Area;Id_Equipo_Viceprecidencia 
CLS53000236;REDES MTBT ;CLS80000008
CLS51000886;PROVISION SERVICIO OBRAS Y MULTISERVICIOS ;CLS80000008
CLS53000227;OPERACION DE LA MEDIDA ZONA ;CLS80000008
CLS51000668;HOGARES ;CLS80000004
CLS53000401;INGENIERIA DE PRUEBAS ;CLS80000008
CLS53000320;ESTRATEGIA ABASTECIMIENTO ;CLS80000005
CLS53000372;EXPERIENCIAS DE SERVICIO ZONA ;CLS80000004
CLS51000488;PLANEACION Y OPERACION MERCADOS ENERGETICOS ;CLS80000006
CLS53000612;INTELIGENCIA DE MERCADOS ;CLS80000003
CLS51000909;BIENES INMUEBLES ;CLS80000007
CLS53000448;INFRAESTRUCTURA ELECTRICA Y MANTENIMIENTO ;CLS80000007
CLS53000598;MANTENIMIENTO PREDICTIVO ELECTRICO ;CLS80000006
CLS52000011;TESORERIA ;CLS80000005
CLS53000366;ASUNTOS REGULATORIOS Y DESARROLLO DE MERCADOS ;CLS80000009
CLS53000438;OPERACION TALENTO HUMANO Y SOLUCIONES ORGANIZACIONALES ;CLS80000009
CLS51000703;GESTION SOCIOAMBIENTAL GENERACION ;CLS80000006
CLS50000052;GENERACION ;CLS80000006
CLS51000792;INGENIERIA DE PROCESOS Y DISEÑO ORGANIZACIONAL ;CLS80000007
CLS50000050;PRESIDENCIA ;CLS80000001
CLS51000702;INGENIERIA DE APOYO ;CLS80000006
CLS53000388;OBRAS CIVILES ACUEDUCTOS Y STAR ;CLS80000006
CLS53000557;ALMACEN ;CLS80000005
CLS53000585;GENERACION HIDRAULICA Y EOLICA ;CLS80000006
CLS53000594;CONFIABILIDAD DE ACTIVOS ;CLS80000006
CLS53000616;SISTEMAS FOTOVOLTAICOS ;CLS80000008
CLS53000512;GESTION TECNICA INTERNET ;CLS80000007
CLS53000620;DESARROLLO DE PRODUCTO ENERBIT ;CLS80000022
CLS53000066;SUPERVISION DE TURNO II ;CLS80000009
CLS53000065;SUPERVISION TURNO I ;CLS80000009
CLS53000603;REVERDEC ;CLS80000006
CLS53000429;OPERACIONES Y MANTENIMIENTO ACTIVOS FOTOVOLTAICOS CA ;CLS80000009
CLS53000412;AUDITORIA CA ;CLS80000020
CLS53000073;MANTENIMIENTO ELECTRICO DMA ;CLS80000009
CLS53000614;INTERVENTORIA ZONA VALLE ;CLS80000008
CLS53000249;SALUD DE EQUIPOS ;CLS80000008
CLS51000660;OPERACION TYD ;CLS80000008
CLS50000061;FINANZAS CORPORATIVAS ;CLS80000005
CLS53000541;SERVICIO PRESENCIAL ;CLS80000004
CLS51000671;ADMINISTRACION VENTAS ;CLS80000004
CLS53000398;OPERACION Y MANTENIMIENTO DE LA MEDIDA ZONA VALLE NORTE ;CLS80000008
CLS53000600;MANTENIMIENTO MECANICO PRADO Y CUCUANA ;CLS80000006
CLS53000467;GESTION DEL CAMBIO ;CLS80000007
CLS50000058;AUDITORIA CORPORATIVA ;CLS80000001
CA12000);Direccion de Operaciones y Proyectos ;51000551)
CLS53000064;OPERACIONES COMPLEJO HIDRICO CHIRIQUI ;CLS80000009
CLS53000535;GESTION CENTRO DE OPERACIONES TECNOLOGIA ;CLS80000007
CLS53000502;OPERACIONES COMPLEJO TERMICO COLON ;CLS80000009
CLS50000053;FINANCIERA ;CLS80000005
CLS53000503;GESTION DE RECURSOS COMPLEJO TERMICO COLON ;CLS80000009
CLS53000623;NEGOCIO DISTRITO TERMICO Y EFICIENCIA ENERGETICA ;CLS80000004
CLS53000523;ENERBIT ;CLS80000022
CLS51000847;PLANEACION DEL MEM ;CLS80000006
CLS51000578;INNOVACION ;CLS80000001
CLS51000871;MANTENIMIENTO TYD ZONA VALLE SUR ;CLS80000008
CLS51000838;GESTION TECNICA HIDRAULICAS ;CLS80000006
CLS53000082;SUPERVISION TURNO V CTC ;CLS80000009
CLS51000851;GESTION APLICACIONES DE NEGOCIO ;CLS80000007
